flight_id,Airline,Departure Airport Code,Dep Airport Name,Arrival Airport Code,Arr Airport Name,Departure Date & Time,Arrival Date & Time,Duration (hrs),Stopovers,Aircraft Type,Class,Booking Source,Seasonality,Days Before Departure,City Arr,Country Arr,City Dep,Country Dep,Base Fare (EUR),Tax & Surcharge (EUR),Total Fare (EUR)
FLY4e8d10,AirAsia,JSR,Jessore Airport,LHR,London Heathrow Airport,2025-12-28 01:38:00,2025-12-28 10:30:49,8.880375526991697,1 Stop,Airbus A350,Economy,Online Website,Winter Holidays,12,London,United Kingdom,Jessore,Bangladesh,101.55,66.23,167.78
FLYb294f5,Etihad Airways,ZYL,"Osmani International Airport, Sylhet",LHR,London Heathrow Airport,2026-01-10 22:44:00,2026-01-11 06:49:51,8.097631763509375,1 Stop,Airbus A350,First Class,Travel Agency,Winter Holidays,48,London,United Kingdom,Sylhet Osmani,Bangladesh,649.45,148.42,797.87
FLY21202f,Kuwait Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",IST,Istanbul Airport,2025-03-14 22:46:00,2025-03-15 05:31:58,6.766236259145377,1 Stop,Boeing 777,Business,Direct Booking,Regular,64,Istanbul,Turkey,Dhaka,Bangladesh,789.78,152.47,942.25
FLY41f90d,Air India,BZL,Barisal Airport,DXB,Dubai International Airport,2025-04-02 09:07:00,2025-04-02 13:15:12,4.136763254426368,Direct,Boeing 787,First Class,Direct Booking,Eid,74,Dubai,United Arab Emirates,Barisal,Bangladesh,1118.1,201.72,1319.82
FLY1c78d6,US-Bangla Airlines,ZYL,"Osmani International Airport, Sylhet",DXB,Dubai International Airport,2026-02-08 02:14:00,2026-02-08 06:12:14,3.9706912601937177,1 Stop,Boeing 737,Business,Direct Booking,Winter Holidays,90,Dubai,United Arab Emirates,Sylhet Osmani,Bangladesh,760.75,148.11,908.86
FLYfda6b3,Air Arabia,RJH,"Shah Makhdum Airport, Rajshahi",DXB,Dubai International Airport,2025-04-05 11:42:00,2025-04-05 15:14:05,3.534804893507986,Direct,Boeing 737,Economy,Online Website,Regular,52,Dubai,United Arab Emirates,Rajshahi,Bangladesh,108.63,50.29,158.92
FLY7c0cd5,AirAsia,CXB,Cox's Bazar Airport,IST,Istanbul Airport,2025-03-16 23:12:00,2025-03-17 06:41:46,7.496287891132803,1 Stop,Airbus A350,Business,Travel Agency,Regular,69,Istanbul,Turkey,Cox's Bazar,Bangladesh,945.57,175.84,1121.41
FLY8336dd,British Airways,BZL,Barisal Airport,JFK,"John F. Kennedy International Airport, New York",2025-10-18 18:56:00,2025-10-19 09:04:31,14.142098636201084,2 Stops,Airbus A350,Economy,Online Website,Regular,8,New York,United States,Barisal,Bangladesh,57.38,59.61,116.98
FLYf4bed7,Saudia,BZL,Barisal Airport,IST,Istanbul Airport,2025-12-11 05:36:00,2025-12-11 12:07:00,6.516934680370438,1 Stop,Boeing 777,First Class,Travel Agency,Winter Holidays,85,Istanbul,Turkey,Barisal,Bangladesh,347.21,86.08,433.29
FLY36d758,Malaysian Airlines,SPD,Saidpur Airport,DXB,Dubai International Airport,2026-01-08 18:20:00,2026-01-08 21:54:54,3.581720118759027,Direct,Boeing 787,Business,Direct Booking,Winter Holidays,65,Dubai,United Arab Emirates,Saidpur,Bangladesh,159.42,57.91,217.34
