passport_id,Origin,Destination,Requirement
PASSdcd06e,Afghanistan,Albania,Visa Required
PASSe2a7fb,Afghanistan,Algeria,Visa Required
PASS6243a9,Afghanistan,American Samoa,Visa Required
PASSa935c8,Afghanistan,Andorra,Visa Required
PASSb19358,Afghanistan,Angola,Visa Required
PASS1527cb,Afghanistan,Anguilla,Visa Required
PASS04d904,Afghanistan,Antigua and Barbuda,Visa Required
PASS3ca6e3,Afghanistan,Argentina,Visa Required
PASSae2b03,Afghanistan,Armenia,Visa Required
PASS68ed3e,Afghanistan,Aruba,Visa Required
PASSe4809c,Afghanistan,Australia,Visa Required
PASS4d4e16,Afghanistan,Austria,Visa Required
PASS8993d3,Afghanistan,Azerbaijan,Visa Required
PASSe80355,Afghanistan,Bahamas,Visa Required
PASS157b41,Afghanistan,Bahrain,Visa Required
PASS4f1f4f,Afghanistan,Bangladesh,Visa Free
PASSa9c176,Afghanistan,Barbados,Visa Required
PASSbde50d,Afghanistan,Belarus,Visa Required
PASS0475c0,Afghanistan,Belgium,Visa Required
PASS205843,Afghanistan,Belize,Visa Required
PASS6222d2,Afghanistan,Benin,Visa Required
PASS24ff6e,Afghanistan,Bermuda,Visa Required
PASSf570be,Afghanistan,Bhutan,Visa Required
PASS82ef5a,Afghanistan,Bolivia,Visa Required
PASS953775,Afghanistan,Bonaire; St. Eustatius and Saba,Visa Required
PASSde3a3b,Afghanistan,Bosnia and Herzegovina,Visa Required
PASS1c054c,Afghanistan,Botswana,Visa Required
PASS232a81,Afghanistan,Brazil,Visa Required
PASS517da1,Afghanistan,British Virgin Islands,Visa Required
PASS6bd2df,Afghanistan,Brunei,Visa Required
PASS09d4a3,Afghanistan,Bulgaria,Visa Required
PASS874cff,Afghanistan,Burkina Faso,Visa Required
PASSc91443,Afghanistan,Burundi,Visa Free
PASS48e978,Afghanistan,Cambodia,Visa Free
PASSfad815,Afghanistan,Cameroon,Visa Required
PASSfcd60c,Afghanistan,Canada,Visa Required
PASSd06ae7,Afghanistan,Cape Verde Islands,Visa Free
PASS2c9068,Afghanistan,Cayman Islands,Visa Required
PASSbc8577,Afghanistan,Central African Republic,Visa Required
PASS0a02a7,Afghanistan,Chad,Visa Required
PASSde44b8,Afghanistan,Chile,Visa Required
PASS6b1b16,Afghanistan,China,Visa Required
PASS22d4d4,Afghanistan,Colombia,Visa Required
PASS4b56af,Afghanistan,Comoro Islands,Visa Free
PASS363655,Afghanistan,Congo (Dem. Rep.),Visa Required
PASSbe9e5c,Afghanistan,Congo (Rep.),Visa Required
PASSb3b76b,Afghanistan,Cook Islands,Visa Free
PASS3eb30d,Afghanistan,Costa Rica,Visa Required
PASSabae21,Afghanistan,Cote d'Ivoire,Visa Required
PASS02513c,Afghanistan,Croatia,Visa Required
PASS8b11fd,Afghanistan,Cuba,Visa Required
PASSa1e45f,Afghanistan,Curacao,Visa Required
PASS767b53,Afghanistan,Cyprus,Visa Required
PASSfbb180,Afghanistan,Czechia,Visa Required
PASSab03f2,Afghanistan,Denmark,Visa Required
PASSbce42f,Afghanistan,Djibouti,Visa Free
PASS3ceee8,Afghanistan,Dominica,Visa Free
PASSc7b999,Afghanistan,Dominican Republic,Visa Required
PASS8cf4d8,Afghanistan,Ecuador,Visa Required
PASSfb4e74,Afghanistan,Egypt,Visa Required
PASSab2526,Afghanistan,El Salvador,Visa Required
PASS7489bc,Afghanistan,Equatorial Guinea,Visa Required
PASSd9500d,Afghanistan,Eritrea,Visa Required
PASS99870e,Afghanistan,Estonia,Visa Required
PASS3eb580,Afghanistan,Ethiopia,Visa Required
PASS378645,Afghanistan,Falkland Islands,Visa Required
PASSbd6385,Afghanistan,Faroe Islands,Visa Required
PASS7c6c9a,Afghanistan,Fiji,Visa Required
PASScc52d6,Afghanistan,Finland,Visa Required
PASS0d89a6,Afghanistan,France,Visa Required
PASSf26b11,Afghanistan,French Guiana,Visa Required
PASSe9e950,Afghanistan,French Polynesia,Visa Required
PASSc5ba26,Afghanistan,French West Indies,Visa Required
PASSb42fa1,Afghanistan,Gabon,Visa Required
PASS6d0a2f,Afghanistan,Georgia,Visa Required
PASSdde5ce,Afghanistan,Germany,Visa Required
PASSf7bd53,Afghanistan,Ghana,Visa Required
PASS179b56,Afghanistan,Gibraltar,Visa Required
PASS0f3017,Afghanistan,Greece,Visa Required
PASSdf0efe,Afghanistan,Greenland,Visa Required
PASS4fd297,Afghanistan,Grenada,Visa Required
PASS42e758,Afghanistan,Guam,Visa Required
PASS9cc8e1,Afghanistan,Guatemala,Visa Required
PASS79f0e4,Afghanistan,Guinea,Visa Required
PASSb5a971,Afghanistan,Guinea-Bissau,Visa Free
PASSccc970,Afghanistan,Guyana,Visa Required
PASS30f2d4,Afghanistan,Haiti,Visa Free
PASS0db197,Afghanistan,Honduras,Visa Required
PASS73df1c,Afghanistan,Hong Kong (SAR China),Visa Required
PASSd71b09,Afghanistan,Hungary,Visa Required
PASS94e49c,Afghanistan,Iceland,Visa Required
PASSb75b06,Afghanistan,India,Visa Required
PASS6b92cf,Afghanistan,Indonesia,Visa Required
PASS0ff83d,Afghanistan,Iran,Visa Required
PASSb5f2bc,Afghanistan,Iraq,Visa Required
