history_id,user_id,flight_id,city,country,issued_passport,visa_required,flight_dep,flight_arr,length_of_stay,restaurants,hotels
HIST5502c4d7,USER888a0c4b,FLY056710,London,United Kingdom,Malta,Visa Free,Saidpur,London,10,"['RESTO1d0984', 'RESTOe1162d', 'RESTOcd6e90', 'RESTO0d36de', 'RESTOc0b4cb', 'RESTO78189b', 'RESTO3c208c', 'RESTO8d65c2', 'RESTOb9a21a', 'RESTO006c0c', 'RESTO6f47a9', 'RESTO0d4f52', 'RESTO33b6b9', 'RESTO8a18c6', 'RESTO1ac4e3', 'RESTO15602c', 'RESTO03b7b2', 'RESTO6bc0e3', 'RESTOfeb448', 'RESTO82e2a6']","['HOT454946', 'HOT08278d']"
HIST83bfcb6b,USER02b5953b,FLY028175,Istanbul,Türkiye,Bangladesh,Visa Required,Saidpur,Istanbul,5,[],['HOT7356a8']
HIST9d2911dc,USERa63b98a9,FLY533efb,Dubai,United Arab Emirates,Bangladesh,Visa Required,Sylhet Osmani,Dubai,6,"['RESTO91daaa', 'RESTO64fcf0', 'RESTOcf3e0c', 'RESTOd4a290', 'RESTO3ecf6c', 'RESTOd65a0c', 'RESTO879f0f', 'RESTO588994', 'RESTO2fc452', 'RESTO265fd6', 'RESTO4b852f', 'RESTO301769']","['HOT3fb1cd', 'HOTad404c']"
HIST1b04f1d1,USERd138ec8c,FLY344ad7,Istanbul,Türkiye,Estonia,Visa Free,Dhaka,Istanbul,10,[],"['HOT46ddb2', 'HOT729339']"
HIST91de5250,USERdb93b5f6,FLY6ba39c,Dubai,United Arab Emirates,Tajikistan,Visa Required,Sylhet Osmani,Dubai,7,"['RESTObe3105', 'RESTO91daaa', 'RESTO301769', 'RESTO879f0f', 'RESTO3e2212', 'RESTO4b852f', 'RESTOc811dd', 'RESTOd4a290', 'RESTO8b1c60', 'RESTO64fcf0', 'RESTOd65a0c', 'RESTO157846', 'RESTO82af76', 'RESTO2fc452']","['HOT3fb1cd', 'HOT471596']"
HISTb56a86af,USER3cf44998,FLYdcafef,New York,United States,Bangladesh,Visa Required,Dhaka,New York,3,[],[]
HIST21b15897,USER98711153,FLY3377c0,Dubai,United Arab Emirates,Barbados,Visa Free,Rajshahi,Dubai,9,"['RESTO19112a', 'RESTO91daaa', 'RESTO265fd6', 'RESTO8b1c60', 'RESTO2fc452', 'RESTOd65a0c', 'RESTO82af76', 'RESTO157846', 'RESTOc811dd', 'RESTOeaf22e', 'RESTO64fcf0', 'RESTObe3105', 'RESTO301769', 'RESTOcf3e0c', 'RESTOd4a290', 'RESTO3e2212', 'RESTO4b852f', 'RESTO3ecf6c']","['HOTb66964', 'HOT9f31bc']"
HIST11164adb,USER864fa037,FLY1cfbeb,Dubai,United Arab Emirates,Bangladesh,Visa Required,Sylhet Osmani,Dubai,8,"['RESTO265fd6', 'RESTOc811dd', 'RESTOcf3e0c', 'RESTOeaf22e', 'RESTO19112a', 'RESTOd4a290', 'RESTOd65a0c', 'RESTO879f0f', 'RESTO157846', 'RESTO301769', 'RESTO64fcf0', 'RESTO91daaa', 'RESTO3e2212', 'RESTO82af76', 'RESTO4b852f', 'RESTO2fc452', 'RESTO8b1c60', 'RESTObe3105', 'RESTO588994', 'RESTO3ecf6c']","['HOTad404c', 'HOTe5da72']"
HIST27087d4b,USER7fd57a21,FLYa6f8c0,New York,United States,Bangladesh,Visa Required,Saidpur,New York,11,[],[]
HISTea316c86,USERe51db555,FLYd43928,London,United Kingdom,Italy,Visa Free,Rajshahi,London,6,"['RESTO3c208c', 'RESTOe1162d', 'RESTO33b6b9', 'RESTO6f47a9', 'RESTO0d4f52', 'RESTO15602c', 'RESTO1d0984', 'RESTO82e2a6', 'RESTO8a18c6', 'RESTO8d65c2', 'RESTO1ac4e3', 'RESTOcd6e90']",['HOTbdde71']
