passport_id,Origin,Destination,Requirement
PASS8e0fc2,Afghanistan,Albania,Visa Required
PASS631d88,Afghanistan,Algeria,Visa Required
PASSc9bee8,Afghanistan,American Samoa,Visa Required
PASSca09a8,Afghanistan,Andorra,Visa Required
PASS51acb5,Afghanistan,Angola,Visa Required
PASS8bd00b,Afghanistan,Anguilla,Visa Required
PASS027759,Afghanistan,Antigua and Barbuda,Visa Required
PASSff44b1,Afghanistan,Argentina,Visa Required
PASS063c9a,Afghanistan,Armenia,Visa Required
PASS12d392,Afghanistan,Aruba,Visa Required
PASSe14698,Afghanistan,Australia,Visa Required
PASS06c337,Afghanistan,Austria,Visa Required
PASS477d04,Afghanistan,Azerbaijan,Visa Required
PASSc78955,Afghanistan,Bahamas,Visa Required
PASScaad27,Afghanistan,Bahrain,Visa Required
PASS351b16,Afghanistan,Bangladesh,Visa Free
PASS6b780a,Afghanistan,Barbados,Visa Required
PASS5ca244,Afghanistan,Belarus,Visa Required
PASS229d97,Afghanistan,Belgium,Visa Required
PASS150cf7,Afghanistan,Belize,Visa Required
PASSf6349a,Afghanistan,Benin,Visa Required
PASSb60b77,Afghanistan,Bermuda,Visa Required
PASS825a1f,Afghanistan,Bhutan,Visa Required
PASS9dab35,Afghanistan,Bolivia,Visa Required
PASS25c635,Afghanistan,Bonaire; St. Eustatius and Saba,Visa Required
PASS7434f6,Afghanistan,Bosnia and Herzegovina,Visa Required
PASS6af19a,Afghanistan,Botswana,Visa Required
PASSa16f53,Afghanistan,Brazil,Visa Required
PASS533930,Afghanistan,British Virgin Islands,Visa Required
PASS9eb5fc,Afghanistan,Brunei,Visa Required
PASSf64bdc,Afghanistan,Bulgaria,Visa Required
PASS064da7,Afghanistan,Burkina Faso,Visa Required
PASSb04ec1,Afghanistan,Burundi,Visa Free
PASSa676d5,Afghanistan,Cambodia,Visa Free
PASS408281,Afghanistan,Cameroon,Visa Required
PASS041a1b,Afghanistan,Canada,Visa Required
PASS880602,Afghanistan,Cape Verde Islands,Visa Free
PASSf2ea5a,Afghanistan,Cayman Islands,Visa Required
PASSf86a97,Afghanistan,Central African Republic,Visa Required
PASSc1972d,Afghanistan,Chad,Visa Required
PASSf8f520,Afghanistan,Chile,Visa Required
PASS1d1ad8,Afghanistan,China,Visa Required
PASS7f5468,Afghanistan,Colombia,Visa Required
PASS45a05b,Afghanistan,Comoro Islands,Visa Free
PASS9ba98b,Afghanistan,Congo (Dem. Rep.),Visa Required
PASSa1a3a2,Afghanistan,Congo (Rep.),Visa Required
PASS88afec,Afghanistan,Cook Islands,Visa Free
PASS3c734e,Afghanistan,Costa Rica,Visa Required
PASS49d536,Afghanistan,Cote d'Ivoire,Visa Required
PASS2a974c,Afghanistan,Croatia,Visa Required
PASS94265e,Afghanistan,Cuba,Visa Required
PASS4c3b7e,Afghanistan,Curacao,Visa Required
PASSdb09cf,Afghanistan,Cyprus,Visa Required
PASS3a556d,Afghanistan,Czechia,Visa Required
PASS6f2017,Afghanistan,Denmark,Visa Required
PASS34f076,Afghanistan,Djibouti,Visa Free
PASSbc4f4a,Afghanistan,Dominica,Visa Free
PASS88bd6c,Afghanistan,Dominican Republic,Visa Required
PASS649b80,Afghanistan,Ecuador,Visa Required
PASS20686b,Afghanistan,Egypt,Visa Required
PASS73d9a7,Afghanistan,El Salvador,Visa Required
PASSa4fc58,Afghanistan,Equatorial Guinea,Visa Required
PASS9b6e21,Afghanistan,Eritrea,Visa Required
PASSf78303,Afghanistan,Estonia,Visa Required
PASS266c73,Afghanistan,Ethiopia,Visa Required
PASS7d9fdb,Afghanistan,Falkland Islands,Visa Required
PASSeb476c,Afghanistan,Faroe Islands,Visa Required
PASS8418ee,Afghanistan,Fiji,Visa Required
PASS426bb4,Afghanistan,Finland,Visa Required
PASS8537cb,Afghanistan,France,Visa Required
PASSbdfc67,Afghanistan,French Guiana,Visa Required
PASS792ea7,Afghanistan,French Polynesia,Visa Required
PASS9fa6da,Afghanistan,French West Indies,Visa Required
PASSec3d1d,Afghanistan,Gabon,Visa Required
PASS1f3199,Afghanistan,Georgia,Visa Required
PASS3f6361,Afghanistan,Germany,Visa Required
PASSc0e021,Afghanistan,Ghana,Visa Required
PASS66bb71,Afghanistan,Gibraltar,Visa Required
PASSdfaf07,Afghanistan,Greece,Visa Required
PASS760aad,Afghanistan,Greenland,Visa Required
PASS048476,Afghanistan,Grenada,Visa Required
PASSa5ec64,Afghanistan,Guam,Visa Required
PASS58fff1,Afghanistan,Guatemala,Visa Required
PASSa59adb,Afghanistan,Guinea,Visa Required
PASS759e12,Afghanistan,Guinea-Bissau,Visa Free
PASSd95e39,Afghanistan,Guyana,Visa Required
PASS395570,Afghanistan,Haiti,Visa Free
PASSed84f6,Afghanistan,Honduras,Visa Required
PASSe8659d,Afghanistan,Hong Kong (SAR China),Visa Required
PASS067f7a,Afghanistan,Hungary,Visa Required
PASSdc47dc,Afghanistan,Iceland,Visa Required
PASS15cd00,Afghanistan,India,Visa Required
PASS15ff1e,Afghanistan,Indonesia,Visa Required
PASSda572b,Afghanistan,Iran,Visa Required
PASS51d582,Afghanistan,Iraq,Visa Required
PASS8edce1,Afghanistan,Ireland,Visa Required
PASSe75d12,Afghanistan,Israel,Visa Required
PASSe21181,Afghanistan,Italy,Visa Required
PASS8ed7a3,Afghanistan,Jamaica,Visa Required
PASSca04c2,Afghanistan,Japan,Visa Required
PASS66cba5,Afghanistan,Jordan,Visa Required
PASS33e4c5,Afghanistan,Kazakhstan,Visa Required
PASSb2546a,Afghanistan,Kenya,Visa Free
PASS48b56f,Afghanistan,Kiribati,Visa Required
PASS9c2d4b,Afghanistan,Kosovo,Visa Required
PASS7b1cec,Afghanistan,Kuwait,Visa Required
PASS4bd6c0,Afghanistan,Kyrgyzstan,Visa Required
PASS995b08,Afghanistan,Laos,Visa Required
